Time-Stamp,DeviceID,DeviceType,Status,MAX_High_Current,MIN_High_Current,MAX_Mid_Current,MIN_Mid_Current,MAX_Low_Current,MIN_Low_Current,MAX_Off_Current,MIN_Off_Current,SW1,Current-1,SW2,Current-2,SW3,Current-3,SW4,Current-4,Lot_ID,Issue-Name,Print_Status,Firmware_Version
2024-07-04 15:15:21,F4CE361F79F91D13,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,982 mA,off,11 mA,1,1053 mA,2,829 mA,DEMO-L202411,,1,
2024-07-02 10:18:00,F4CE361F9FE8DB8A,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,917 mA,off,10 mA,1,890 mA,2,907 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE361FF387D51C,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,810 mA,off,11 mA,1,816 mA,2,835 mA,DEMO-L202411,,1,
2024-07-02 11:47:55,F4CE361FF9929163,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,980 mA,off,10 mA,1,834 mA,2,878 mA,DEMO-L202411,,1,
2024-07-01 13:10:39,F4CE36201E770DD0,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,891 mA,off,12 mA,1,871 mA,2,950 mA,DEMO-L202411,,1,
2024-07-04 10:26:46,F4CE3620FAF4A829,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,HIGH,1086 mA,OFF,11 mA,LOW,1118 mA,MID,842 mA,DEMO-L202411,,1,
2024-07-01 14:17:07,F4CE36216FD0B4D6,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,863 mA,off,10 mA,1,1016 mA,2,883 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE3621E54E43F2,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,831 mA,off,11 mA,1,1026 mA,2,788 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE36221D9E1D30,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,758 mA,off,11 mA,1,787 mA,2,749 mA,DEMO-L202411,,1,
2024-07-04 09:46:15,F4CE36228CCBF9CD,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1054 mA,off,9 mA,1,870 mA,2,884 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE362297F31B53,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1016 mA,off,11 mA,1,971 mA,2,786 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE36238581B744,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,943 mA,off,11 mA,1,883 mA,2,996 mA,DEMO-L202411,,1,
2024-07-04 09:46:15,F4CE362494087331,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1067 mA,off,11 mA,1,1009 mA,2,1055 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE3624CD832571,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,875 mA,off,10 mA,1,1018 mA,2,1034 mA,DEMO-L202411,,1,
2024-07-01 13:10:39,F4CE3624E00ED8EB,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1064 mA,off,11 mA,1,916 mA,2,1056 mA,DEMO-L202411,,1,
2024-07-02 13:42:23,F4CE3624E15546EF,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,829 mA,off,12 mA,1,806 mA,2,1009 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE3625154A45C9,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,875 mA,off,11 mA,1,911 mA,2,962 mA,DEMO-L202411,,1,
2024-07-04 10:49:42,F4CE3625C416111C,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1039 mA,off,12 mA,1,1108 mA,2,847 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE3625DE7678EB,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,863 mA,off,10 mA,1,888 mA,2,943 mA,DEMO-L202411,,1,
2024-07-01 13:59:24,F4CE3626B29E9CA7,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,839 mA,off,13 mA,1,882 mA,2,865 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE362774923959,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1022 mA,off,10 mA,1,756 mA,2,1000 mA,DEMO-L202411,,1,
2024-07-02 10:25:49,F4CE3627A433DB1C,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,910 mA,off,11 mA,1,951 mA,2,902 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE362805BEF7A0,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1029 mA,off,10 mA,1,911 mA,2,859 mA,DEMO-L202411,,1,
2024-07-04 09:46:15,F4CE3628C11461D0,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1076 mA,off,11 mA,1,1083 mA,2,1083 mA,DEMO-L202411,,1,
2024-07-02 10:25:49,F4CE3629F5A7D10E,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,972 mA,off,12 mA,1,936 mA,2,996 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE362B15F695B0,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,757 mA,off,12 mA,1,1024 mA,2,957 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE362B5BAA0DCC,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,980 mA,off,11 mA,1,940 mA,2,892 mA,DEMO-L202411,,1,
2024-07-04 10:49:42,F4CE362C8CA2F9F8,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,878 mA,off,11 mA,1,846 mA,2,855 mA,DEMO-L202411,,1,
2024-07-04 14:16:01,F4CE362CED036CF8,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,804 mA,off,11 mA,1,913 mA,2,1022 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE362DA90B60A7,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1069 mA,off,9 mA,1,920 mA,2,854 mA,DEMO-L202411,,1,
2024-07-04 14:47:37,F4CE362E6235930A,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1043 mA,off,11 mA,1,996 mA,2,991 mA,DEMO-L202411,,1,
2024-07-04 14:16:01,F4CE362E8952A735,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,762 mA,off,12 mA,1,886 mA,2,906 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE362F447C1EB7,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,796 mA,off,11 mA,1,987 mA,2,1040 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE362F4F2804D7,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,815 mA,off,11 mA,1,673 mA,2,774 mA,DEMO-L202411,,1,
2024-07-04 15:15:21,F4CE363021EFBE83,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,859 mA,off,11 mA,1,852 mA,2,1001 mA,DEMO-L202411,,1,
2024-07-03 16:06:07,F4CE36305D4379E3,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,944 mA,off,12 mA,1,834 mA,2,826 mA,DEMO-L202411,,1,
2024-07-01 15:12:35,F4CE3630E5263504,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,940 mA,off,11 mA,1,1002 mA,2,932 mA,DEMO-L202411,,1,
2024-07-02 11:47:55,F4CE36314A3889D8,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,1022 mA,off,11 mA,1,1024 mA,2,885 mA,DEMO-L202411,,1,
2024-07-04 09:46:15,F4CE36335654D9BF,Actuator Controller 3CH,GOOD,1500,20,1500,20,1500,20,15,4,3,906 mA,off,11 mA,1,1124 mA,2,1075 mA,DEMO-L202411,,1,
